,City,Town,Neighborhood,Apartment Type,House Type,House Age,House Size,Room Count,Floor,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price
134,İstanbul,Beyoğlu,Sütlüce,Daire,Daire,2,80 m2,2 + 1,Ara Kat,,1.0,,Kombi,Doğalgaz,10000
135,Kocaeli,Gölcük,Lütfiye,Villa,Villa,5,220 m2,5 + 1,Bahçe Katı,True,3.0,,Kombi,,26500
136,Aydın,Kuşadası,Türkmen,Daire,Daire,16,130 m2,3 + 1,Kot 1,True,2.0,İkinci El,Klima,Doğalgaz,21000
137,İstanbul,Kağıthane,Ortabayır,Daire,Daire,25,90 m2,2 + 1,Kot 1,False,1.0,İkinci El,Kombi,Doğalgaz,12000
138,Erzincan,Merkez,Yenimahalle,Daire,Daire,Sıfır,55 m2,1 + 1,Yüksek Giriş,False,1.0,Sıfır,Kombi,Doğalgaz,9000
139,Ankara,Çankaya,Naci Çakır,Daire,Daire,25,120 m2,2 + 1,1. Kat,False,1.0,Sıfır,Merkezi,Doğalgaz,25000
140,Ankara,Çankaya,İlkadım,Daire,Daire,11,125 m2,3 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,25750
141,İstanbul,Sarıyer,Zekeriyaköy,Villa,Villa,25,850 m2,7 + 2,,False,4.0,İkinci El,Yerden Isıtma,Doğalgaz,275000
142,Antalya,Konyaaltı,Hurma,Daire,Daire,11,90 m2,2 + 1,1. Kat,True,1.0,,Klima,,18000
143,Antalya,Konyaaltı,Hurma,Daire,Daire,7,110 m2,2 + 1,4. Kat,False,2.0,İkinci El,Isıtma Yok,Elektrik,18000
144,Antalya,Finike,Sahilkent,Daire,Daire,26,150 m2,2 + 1,9. Kat,True,1.0,,Klima,,14500
145,İstanbul,Üsküdar,Zeynep Kamil,Daire,Daire,36,121 m2,3 + 1,En Üst Kat,False,1.0,,Kombi,Doğalgaz,26000
146,İstanbul,Beyoğlu,Cihangir,Daire,Daire,45,135 m2,2 + 1,5. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,40000
147,İstanbul,Ataşehir,Atatürk,Daire,Daire,21,95 m2,1 + 1,8. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,30000
148,Ankara,Yenimahalle,Yeni Batı,Daire,Daire,4,142 m2,2 + 1,En Üst Kat,True,3.0,İkinci El,Merkezi,Doğalgaz,30000
149,İstanbul,Beşiktaş,Levent,Residence,Residence,20,302 m2,4 + 1,9. Kat,False,2.0,İkinci El,Merkezi,Doğalgaz,165000
150,İstanbul,Eyüpsultan,Göktürk Merkez,Daire,Daire,Sıfır,110 m2,2 + 1,2. Kat,False,1.0,,Kombi,,37500
151,Burdur,Merkez,Fevzi Çakmak,Daire,Daire,11,155 m2,3 + 1,2. Kat,False,1.0,,Kombi,,10000
152,Ankara,Çankaya,Bahçelievler,Daire,Daire,30,150 m2,3 + 1,Teras Katı,False,2.0,İkinci El,Merkezi,Doğalgaz,28500
153,İstanbul,Esenyurt,Piri Reis,Daire,Daire,3,130 m2,2 + 1,4. Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,18000
154,Çanakkale,Ayvacık,Koyunevi,Daire,Daire,15,150 m2,2 + 1,Yüksek Giriş,True,2.0,,Güneş Enerjisi,Elektrik,6000
155,Yalova,Merkez,İsmet Paşa,Daire,Daire,35,75 m2,1 + 1,Giriş Katı,True,2.0,İkinci El,Klima,Elektrik,25000
156,Edirne,Keşan,Mustafa Kemal Paşa,Daire,Daire,9,115 m2,4 + 1,Yüksek Giriş,True,1.0,İkinci El,Kat Kaloriferi,Doğalgaz,15000
157,İstanbul,Avcılar,Denizköşkler,Daire,Daire,25,138 m2,3 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,18000
158,İstanbul,Beşiktaş,Arnavutköy,Köşk,Köşk,100,360 m2,5 + 1,,False,3.0,İkinci El,Kombi,Doğalgaz,245000
159,İstanbul,Küçükçekmece,Cumhuriyet,Daire,Daire,10,130 m2,3 + 1,Bahçe Katı,False,1.0,,Kombi,Doğalgaz,13000
160,Ankara,Yenimahalle,Turgut Özal,Daire,Daire,4,220 m2,4 + 1,1. Kat,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,35000
161,İstanbul,Kağıthane,Ortabayır,Daire,Daire,25,90 m2,2 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,17000
162,İstanbul,Ataşehir,Küçükbakkalköy,Daire,Daire,10,62 m2,1 + 1,2. Kat,,1.0,,Merkezi,Doğalgaz,27000
163,Ankara,Çankaya,Naci Çakır,Daire,Daire,30,130 m2,2 + 1,Kot 3,False,1.0,İkinci El,Kombi,Doğalgaz,13000
164,Zonguldak,Kozlu,Fatih,Daire,Daire,7,150 m2,3 + 1,5. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,15000
165,Ankara,Mamak,Şafaktepe,Daire,Daire,1,90 m2,2 + 1,1. Kat,False,2.0,Sıfır,Kombi,Doğalgaz,22000
