,House Type,House Age,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price,Rooms,Living Rooms,House Size m2,Floor Level,Neighborhood Grouped,Town Grouped,City Grouped
7801,Daire,16,False,1.0,İkinci El,Kombi,Doğalgaz,13000,2,1,98.0,0.0,Other,Ankara - Çankaya,Ankara
7802,Daire,0,True,1.0,İkinci El,Klima,Bilinmiyor,25000,1,0,30.0,2.5,Other,Muğla - Bodrum,Muğla
7804,Daire,21,True,1.0,İkinci El,Kombi,Bilinmiyor,22500,1,1,90.0,0.0,Other,İstanbul - Beykoz,İstanbul
7805,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,26000,2,1,90.0,20.0,Other,İstanbul - Sarıyer,İstanbul
7806,Daire,10,True,1.0,İkinci El,Klima,Elektrik,15000,2,1,80.0,2.5,Other,Hatay - İskenderun,Hatay
7807,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,10000,3,1,130.0,6.0,Other,Denizli - Pamukkale,Denizli
7808,Daire,1,True,1.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,18000,1,1,85.0,1.0,Ankara - Gölbaşı - Taşpınar,Ankara - Gölbaşı,Ankara
7809,Daire,20,True,1.0,İkinci El,Kombi,Doğalgaz,25000,2,1,90.0,2.0,Other,İstanbul - Sarıyer,İstanbul
7810,Daire,39,False,1.0,İkinci El,Merkezi,Bilinmiyor,42000,3,1,130.0,3.0,Other,İstanbul - Beşiktaş,İstanbul
7811,Daire,8,True,1.0,İkinci El,Klima,Elektrik,700,2,1,120.0,2.0,Other,Other,Other
7812,Daire,31,False,1.0,İkinci El,Kombi,Bilinmiyor,30000,3,1,140.0,5.0,Other,İstanbul - Beşiktaş,İstanbul
7813,Daire,31,True,1.0,İkinci El,Kombi,Bilinmiyor,69500,2,1,100.0,5.0,Other,İstanbul - Beyoğlu,İstanbul
7814,Daire,35,True,1.0,İkinci El,Kombi,Doğalgaz,18000,2,1,95.0,13.0,Other,Ankara - Çankaya,Ankara
7815,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,16000,2,1,125.0,3.0,Other,Other,Balıkesir
7816,Daire,10,False,1.0,İkinci El,Kombi,Doğalgaz,12000,2,1,90.0,1.0,Other,İstanbul - Beylikdüzü,İstanbul
7817,Daire,16,True,1.0,İkinci El,Kombi,Bilinmiyor,23000,3,1,120.0,-1.0,Ankara - Çankaya - Birlik,Ankara - Çankaya,Ankara
7818,Daire,13,False,1.0,İkinci El,Kombi,Doğalgaz,13000,1,1,60.0,0.5,Other,İstanbul - Bahçelievler,İstanbul
7819,Residence,5,False,2.0,İkinci El,Yerden Isıtma,Bilinmiyor,77500,3,1,175.0,20.0,İstanbul - Sarıyer - Maslak,İstanbul - Sarıyer,İstanbul
7820,Daire,18,True,1.0,İkinci El,Klima,Elektrik,5000,3,1,150.0,20.0,Other,Balıkesir - Ayvalık,Balıkesir
7821,Daire,26,True,1.0,İkinci El,Kombi,Doğalgaz,25000,3,1,130.0,2.0,Ankara - Çankaya - Harbiye,Ankara - Çankaya,Ankara
7822,Daire,21,False,1.0,İkinci El,Kombi,Bilinmiyor,10000,2,1,90.0,3.0,Other,Balıkesir - Edremit,Balıkesir
7823,Daire,5,True,2.0,İkinci El,Klima,Bilinmiyor,30000,3,1,185.0,9.0,Other,Mersin(İçel) - Yenişehir,Mersin(İçel)
7824,Villa,11,False,3.0,İkinci El,Kombi,Doğalgaz,38000,4,1,270.0,2.75,Other,Kocaeli - İzmit,Kocaeli
7825,Daire,30,False,1.0,İkinci El,Kombi,Doğalgaz,20000,3,1,120.0,2.0,Other,İzmir - Karşıyaka,İzmir
7826,Villa,0,True,2.0,İkinci El,Klima,Bilinmiyor,450000,3,1,200.0,0.0,Other,İzmir - Çeşme,İzmir
7827,Daire,8,False,2.0,İkinci El,Merkezi,Doğalgaz,12500,3,1,125.0,11.0,Other,Other,Kastamonu
7828,Daire,18,False,2.0,İkinci El,Kombi,Doğalgaz,14999,5,1,195.0,3.0,Other,Other,Other
7829,Villa,0,False,4.0,Sıfır,Kombi,Bilinmiyor,100000,4,1,240.0,1.0,İstanbul - Sarıyer - Zekeriyaköy,İstanbul - Sarıyer,İstanbul
7830,Daire,8,False,2.0,İkinci El,Kombi,Doğalgaz,80000,3,1,190.0,3.0,Other,İstanbul - Bakırköy,İstanbul
7831,Daire,19,False,1.0,İkinci El,Kombi,Doğalgaz,15000,3,1,170.0,5.0,Other,Other,Trabzon
7832,Daire,30,True,1.0,İkinci El,Kombi,Doğalgaz,16000,2,1,135.0,2.5,Other,Bolu - Merkez,Bolu
7833,Daire,10,False,1.0,İkinci El,Kombi,Doğalgaz,13000,3,1,140.0,4.0,Other,Çorum - Merkez,Çorum
7834,Daire,15,True,1.0,İkinci El,Kombi,Doğalgaz,29500,2,1,120.0,1.0,Other,İstanbul - Üsküdar,İstanbul
7835,Daire,2,False,2.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,23000,2,1,75.0,11.0,Other,Ankara - Etimesgut,Ankara
7836,Daire,0,False,2.0,Sıfır,Yerden Isıtma,Doğalgaz,21500,3,1,165.0,5.0,Other,Bursa - Nilüfer,Bursa
7837,Daire,9,False,2.0,İkinci El,Kombi,Doğalgaz,11500,2,1,90.0,3.0,Other,İstanbul - Esenyurt,İstanbul
7838,Daire,20,False,1.0,İkinci El,Isıtma Yok,Elektrik,18000,3,1,120.0,0.5,Other,Aydın - Kuşadası,Aydın
7839,Daire,5,False,1.0,İkinci El,Kombi,Doğalgaz,10000,2,1,80.0,0.0,Other,İstanbul - Avcılar,İstanbul
7840,Daire,10,False,1.0,İkinci El,Kombi,Doğalgaz,22000,2,1,102.0,1.0,Other,İstanbul - Beykoz,İstanbul
7841,Daire,21,True,2.0,İkinci El,Kombi,Bilinmiyor,65000,2,1,100.0,0.0,Other,İstanbul - Beşiktaş,İstanbul
7842,Daire,10,False,1.0,İkinci El,Klima,Elektrik,11000,1,1,50.0,5.0,Other,Mersin(İçel) - Yenişehir,Mersin(İçel)
7843,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,16000,2,1,90.0,2.5,Other,İstanbul - Fatih,İstanbul
7844,Daire,40,False,1.0,İkinci El,Kombi,Doğalgaz,26000,2,1,90.0,2.0,Other,İstanbul - Kadıköy,İstanbul
7845,Daire,22,False,1.0,İkinci El,Kombi,Doğalgaz,22500,2,1,90.0,3.0,Other,İstanbul - Kağıthane,İstanbul
7846,Residence,21,False,1.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,40000,1,1,109.0,17.0,Other,İstanbul - Şişli,İstanbul
7849,Daire,35,True,1.0,İkinci El,Merkezi,Doğalgaz,42000,3,1,135.0,2.0,Other,İstanbul - Kadıköy,İstanbul
7850,Daire,31,False,1.0,İkinci El,Kombi,Doğalgaz,9000,2,1,120.0,4.0,Other,Other,Zonguldak
7851,Daire,31,False,3.0,İkinci El,Kombi,Doğalgaz,90000,4,2,350.0,6.0,Other,İstanbul - Beşiktaş,İstanbul
7852,Daire,13,False,1.0,İkinci El,Klima,Elektrik,17000,2,1,80.0,2.0,Balıkesir - Edremit - Altınoluk,Balıkesir - Edremit,Balıkesir
7853,Daire,2,True,2.0,Sıfır,Klima,Elektrik,160000,3,1,105.0,2.0,Other,Muğla - Bodrum,Muğla
7854,Daire,0,False,1.0,İkinci El,Kombi,Bilinmiyor,18500,2,1,100.0,1.0,Other,Ankara - Mamak,Ankara
7855,Daire,25,True,1.0,İkinci El,Kombi,Doğalgaz,20000,2,1,95.0,-2.0,Other,Ankara - Çankaya,Ankara
